"Step","Subtask","AssignedTo","RunID","CorrelationID","WorkerTaskID","EventType","Success","ErrorType"
"0","query_workers()","Coordinator","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","","","query_workers_result","True",""
"0","update_plan(nodes=3)","Coordinator","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","","","update_plan","",""
"0","update_plan()","Coordinator","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","","","update_plan_result","True",""
"0","activate_plan_node(task_id=recon)","Coordinator","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","","","activate_plan_node","",""
"0","send_message()","Coordinator","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","","","send_message_result","True",""
"0","query_task_events(task_ids=['dsp_18b0a238-d3c6-4150-8908-f3998ebbb8f6', 'dsp_06f5c58e-188d-45f7-b8c0-e427bec8e8cf'])","Coordinator","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","","","query_task_events","",""
"2","query_task_events()","Coordinator","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","","","query_task_events_result","True",""
"3","query_task_results()","Coordinator","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","","","query_task_results_result","True",""
"4","query_task_events(task_ids=['dsp_06f5c58e-188d-45f7-b8c0-e427bec8e8cf'])","Coordinator","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","","","query_task_events","",""
"23","query_task_events()","Coordinator","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","","","query_task_events_result","True",""
"23","update_plan(nodes=3)","Coordinator","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","","","update_plan","",""
"23","update_plan()","Coordinator","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","","","update_plan_result","True",""
"23","activate_plan_node(task_id=deliver-alice)","Coordinator","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","","","activate_plan_node","",""
"23","send_message()","Coordinator","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","","","send_message_result","False","dependency_incomplete"
"23","activate_plan_node(task_id=deliver-bob)","Coordinator","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","","","activate_plan_node","",""
"23","send_message()","Coordinator","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","","","send_message_result","False","dependency_incomplete"
"23","update_plan(nodes=3)","Coordinator","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","","","update_plan","",""
"23","update_plan()","Coordinator","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","","","update_plan_result","True",""
"23","activate_plan_node(task_id=deliver-alice)","Coordinator","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","","","activate_plan_node","",""
"23","send_message()","Coordinator","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","","","send_message_result","True",""
"23","activate_plan_node(task_id=deliver-bob)","Coordinator","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","","","activate_plan_node","",""
"23","send_message()","Coordinator","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","","","send_message_result","True",""
"23","query_task_events(task_ids=['dsp_90068f72-6bc6-4e61-afc5-ce24f85908ad', 'dsp_3506c84a-d3ec-4b46-b8c1-84de64974caf'])","Coordinator","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","","","query_task_events","",""
"50","query_task_events()","Coordinator","ai2thor-3_transport_groceries-agents2-seed42-923ea7a9","","","query_task_events_result","True",""
